Time, Date, light, temperature, humidity, sunlight
21:33:39, 7-7-2022, 253, 23.70, 54.00, 262
21:33:40, 7-7-2022, 91, 23.70, 54.00, 261
21:33:41, 7-7-2022, 57, 23.70, 59.00, 262
21:33:43, 7-7-2022, 193, 23.70, 59.00, 263
21:33:44, 7-7-2022, 241, 23.70, 58.00, 262
21:33:45, 7-7-2022, 184, 23.70, 58.00, 262
21:33:46, 7-7-2022, 196, 23.70, 58.00, 260
21:33:48, 7-7-2022, 179, 23.70, 58.00, 260
21:33:49, 7-7-2022, 240, 23.80, 57.00, 262
21:33:50, 7-7-2022, 268, 23.80, 57.00, 263
21:33:51, 7-7-2022, 273, 23.80, 57.00, 262
21:33:52, 7-7-2022, 262, 23.80, 57.00, 262
21:33:54, 7-7-2022, 260, 23.80, 57.00, 261
21:33:55, 7-7-2022, 259, 23.80, 57.00, 262
21:33:56, 7-7-2022, 266, 23.80, 57.00, 263
21:33:57, 7-7-2022, 257, 23.80, 57.00, 262
21:33:59, 7-7-2022, 253, 23.90, 57.00, 261
21:34:00, 7-7-2022, 255, 23.90, 57.00, 262
21:34:01, 7-7-2022, 260, 23.90, 56.00, 262
21:34:02, 7-7-2022, 245, 23.90, 56.00, 262
21:34:04, 7-7-2022, 251, 23.90, 56.00, 261
21:34:05, 7-7-2022, 250, 23.90, 56.00, 260
21:34:06, 7-7-2022, 245, 23.90, 56.00, 262
21:34:07, 7-7-2022, 241, 23.90, 56.00, 262
21:34:08, 7-7-2022, 271, 24.00, 56.00, 261
21:34:10, 7-7-2022, 253, 24.00, 56.00, 262
21:34:11, 7-7-2022, 248, 24.00, 55.00, 262
21:34:12, 7-7-2022, 236, 24.00, 55.00, 262
21:34:13, 7-7-2022, 235, 24.00, 55.00, 262
21:34:15, 7-7-2022, 241, 24.00, 55.00, 261
21:34:16, 7-7-2022, 230, 24.00, 55.00, 263
21:34:17, 7-7-2022, 248, 24.00, 55.00, 262
21:34:18, 7-7-2022, 259, 24.00, 55.00, 262
21:34:20, 7-7-2022, 255, 24.00, 55.00, 262
21:34:21, 7-7-2022, 240, 24.10, 55.00, 262
21:34:22, 7-7-2022, 236, 24.10, 55.00, 262
21:34:23, 7-7-2022, 246, 24.10, 55.00, 261
21:34:24, 7-7-2022, 246, 24.10, 55.00, 262
21:34:26, 7-7-2022, 257, 24.10, 55.00, 261
21:34:27, 7-7-2022, 257, 24.10, 55.00, 262
21:34:28, 7-7-2022, 251, 24.10, 54.00, 261
21:34:29, 7-7-2022, 246, 24.10, 54.00, 264
21:34:31, 7-7-2022, 246, 24.10, 54.00, 262
21:34:32, 7-7-2022, 257, 24.10, 54.00, 263
21:34:33, 7-7-2022, 251, 24.10, 54.00, 263
21:34:34, 7-7-2022, 251, 24.10, 54.00, 263
21:34:36, 7-7-2022, 260, 24.10, 54.00, 262
21:34:37, 7-7-2022, 262, 24.10, 54.00, 262
21:34:38, 7-7-2022, 253, 24.10, 54.00, 262
21:34:39, 7-7-2022, 268, 24.10, 54.00, 263
21:34:41, 7-7-2022, 250, 24.10, 54.00, 260
21:34:42, 7-7-2022, 250, 24.10, 54.00, 264
