Time, Date, light, temperature, humidity
12:15:44, 29-6-2022, 303, 23.90, 58.00
12:15:45, 29-6-2022, 304, 23.90, 58.00
12:15:46, 29-6-2022, 304, 23.90, 55.00
12:15:48, 29-6-2022, 303, 23.90, 55.00
12:15:49, 29-6-2022, 303, 23.90, 58.00
12:15:50, 29-6-2022, 304, 23.90, 58.00
12:15:51, 29-6-2022, 304, 23.90, 58.00
12:15:53, 29-6-2022, 303, 23.90, 58.00
12:15:54, 29-6-2022, 305, 23.90, 58.00
12:15:55, 29-6-2022, 306, 23.90, 58.00
12:15:56, 29-6-2022, 307, 23.90, 58.00
12:15:57, 29-6-2022, 306, 23.90, 58.00
12:15:59, 29-6-2022, 322, 23.90, 58.00
12:16:00, 29-6-2022, 283, 23.90, 58.00
12:16:01, 29-6-2022, 282, 23.90, 58.00
